VAR_NAME,MIN_VALUE,MAX_VALUE,min_range,max_range,COUNT,EVENT,EVENT_RATE,NONEVENT,NON_EVENT_RATE,DIST_EVENT,DIST_NON_EVENT,bucket,WOE,IV
last_account_opened_months_6,32.0,38.0,30.0,38.0,13,8.0,0.6153846153846154,5.0,0.38461538461538464,0.017582417582417582,0.0684931506849315,"(30.0, 38.0]",1.3598343485568236,0.317591021737126
last_account_opened_months_6,39.0,47.0,38.0,47.0,11,11.0,1.0,0.0,0.0,0.024175824175824177,0.0,"(38.0, 47.0]",0.0,0.317591021737126
last_account_opened_months_6,49.0,189.0,47.0,0.0,13,12.0,0.9230769230769231,1.0,0.07692307692307693,0.026373626373626374,0.0136986301369863,"(47.0, inf]",-0.6550686719854412,0.317591021737126
last_account_opened_months_6,,,,,282,250.0,0.8865248226950354,32.0,0.11347517730496454,0.5494505494505495,0.4383561643835616,missing,-0.22588703725996073,0.317591021737126
age,21.0,34.0,0.0,34.0,200,167.0,0.835,33.0,0.165,0.367032967032967,0.4520547945205479,"(-inf, 34.0]",0.20835172685228448,0.06689660299337347
age,35.0,39.0,34.0,39.0,161,137.0,0.8509316770186336,24.0,0.14906832298136646,0.3010989010989011,0.3287671232876712,"(34.0, 39.0]",0.08791088232237994,0.06689660299337347
age,40.0,69.0,39.0,0.0,167,151.0,0.9041916167664671,16.0,0.09580838323353294,0.33186813186813185,0.2191780821917808,"(39.0, inf]",-0.41485313677258384,0.06689660299337347
last_loan_drawn_in_months_7,0.0,1.0,0.0,1.0,30,24.0,0.8,6.0,0.2,0.05274725274725275,0.0821917808219178,"(-inf, 1.0]",0.4435436166826686,0.24858326681594312
last_loan_drawn_in_months_7,2.0,2.0,1.0,2.0,29,28.0,0.9655172413793104,1.0,0.034482758620689655,0.06153846153846154,0.0136986301369863,"(1.0, 2.0]",-1.5023665323726447,0.24858326681594312
last_loan_drawn_in_months_7,3.0,3.0,2.0,3.0,26,24.0,0.9230769230769231,2.0,0.07692307692307693,0.05274725274725275,0.0273972602739726,"(2.0, 3.0]",-0.6550686719854412,0.24858326681594312
last_loan_drawn_in_months_7,4.0,4.0,3.0,4.0,16,12.0,0.75,4.0,0.25,0.026373626373626374,0.0547945205479452,"(3.0, 4.0]",0.7312256891344494,0.24858326681594312
last_loan_drawn_in_months_7,5.0,5.0,4.0,5.0,17,13.0,0.7647058823529411,4.0,0.23529411764705882,0.02857142857142857,0.0547945205479452,"(4.0, 5.0]",0.6511829814609131,0.24858326681594312
last_loan_drawn_in_months_7,6.0,7.0,5.0,7.0,23,22.0,0.9565217391304348,1.0,0.043478260869565216,0.04835164835164835,0.0136986301369863,"(5.0, 7.0]",-1.2612044755557568,0.24858326681594312
last_loan_drawn_in_months_7,8.0,9.0,7.0,9.0,17,16.0,0.9411764705882353,1.0,0.058823529411764705,0.035164835164835165,0.0136986301369863,"(7.0, 9.0]",-0.9427507444372221,0.24858326681594312
